budget,genres,id,original_language,popularity,release_date,revenue,runtime,title,vote_average,vote_count,director,release_year,Year,budget_adjusted,revenue_adjusted
14000000.0,Horror Thriller Mystery Fantasy,11596,en,14.730796,1994-10-13,18090181.0,112.0,New Nightmare,6.4,291,Wes Craven,1994,1994,22006734.143049933,28436128.847618088
8000000.0,Drama Horror,10873,en,5.93923,2000-05-15,8279017.0,92.0,Shadow of the Vampire,6.6,148,E. Elias Merhige,2000,2000,10822624.854819978,11200086.894709641
8000000.0,Romance Comedy Drama Horror,10288,en,5.244518,2006-09-07,426224.0,91.0,Fido,6.6,135,Andrew Currie,2006,2006,9244325.396825397,492519.16849206353
10200000.0,Horror,1691,en,20.745052,2007-06-08,35619521.0,93.0,Hostel: Part II,5.6,453,Eli Roth,2007,2007,11460106.490725465,40019951.35378745
7000000.0,Thriller Horror,301365,en,38.150787,2016-06-08,1333124.0,117.0,The Neon Demon,6.4,887,Nicolas Winding Refn,2016,2016,6794380.997220914,1293964.6246484476
0.0,Horror Thriller,29064,en,1.288173,1999-10-15,2400000.0,100.0,The Omega Code,4.4,17,Robert Marcarelli,1999,1999,0.0,3355923.169267707
7000000.0,Horror,79316,en,14.741589,2014-01-08,36433975.0,89.0,Devil's Due,4.4,216,Matt Bettinelli-Olpin,2014,2014,6888259.495809678,35852382.03769177
7000000.0,Horror,2662,en,19.301432,2003-04-11,16829545.0,89.0,House of 1000 Corpses,6.0,306,Rob Zombie,2003,2003,8862494.56521739,21307393.013940215
0.0,Horror Action Thriller Science-Fiction,77156,en,0.000372,1978-11-22,0.0,90.0,Alien Zone,4.0,3,Sharron Miller,1978,1978,0.0,0.0
7.0,Thriller Action Horror Science-Fiction Crime,13006,en,4.857028,1992-05-01,5.0,90.0,Split Second,5.7,63,Tony Maylam,1992,1992,11.62294369208838,8.302102637205985
6900000.0,Horror Thriller,82505,en,25.613197,2012-09-21,44287131.0,101.0,House at the End of the Street,5.6,555,Mark Tonderai,2012,2012,7001068.407711003,44935830.972791106
6500000.0,Horror,250546,en,60.225219,2014-10-02,255273813.0,99.0,Annabelle,5.6,1517,John R. Leonetti,2014,2014,6396240.960394701,251198895.20411345
6500000.0,Horror Mystery Thriller,11033,en,11.208769,1980-06-25,31899000.0,105.0,Dressed to Kill,6.8,157,Brian De Palma,1980,1980,18376462.378640775,90183195.91019417
0.0,Horror Thriller,10496,en,1.537859,1999-10-22,10.0,91.0,Bats,4.1,35,Louis Morneau,1999,1999,0.0,13.983013205282113
4000000.0,Comedy Horror,10925,en,14.961629,1985-05-15,14237000.0,91.0,The Return of the Living Dead,7.3,267,Dan O'Bannon,1985,1985,8660111.524163568,30823501.94237918
8000000.0,Horror Thriller,10160,en,12.654051,1989-08-11,22168359.0,89.0,A Nightmare on Elm Street 5: The Dream Child,5.5,245,Stephen Hopkins,1989,1989,15029483.870967742,41647374.254540324
6000000.0,Crime Horror Thriller,25066,en,3.89204,1995-05-24,12000000.0,98.0,Tales from the Hood,5.4,32,Rusty Cundieff,1995,1995,9171535.433070866,18343070.866141733
5000000.0,Horror Thriller,11361,en,8.008844,1989-10-12,11642254.0,96.0,Halloween 5: The Revenge of Michael Myers,5.2,183,Dominique Othenin-Girard,1989,1989,9393427.41935484,21872133.58933871
0.0,Mystery Drama Thriller Horror,347764,en,1.273773,2015-08-31,0.0,96.0,Goddess of Love,6.2,9,Jon Knautz,2015,2015,0.0,0.0
5952000.0,Horror Mystery Science-Fiction,837,en,18.119265,1983-02-04,2120439.0,87.0,Videodrome,7.1,454,David Cronenberg,1983,1983,13921285.783132529,4959549.278343373
5600000.0,Thriller Horror,10664,es,22.341462,2009-09-15,18469680.0,85.0,[REC]²,6.4,489,Jaume Balaguer\u00f3,2009,2009,6080812.167598129,20055474.084936395
4000000.0,Horror,215,en,42.187986,2005-10-28,152925093.0,92.0,Saw II,6.3,1251,Darren Lynn Bousman,2005,2005,4771264.720942141,182411525.29442397
4900000.0,Horror Thriller,345911,en,48.170508,2016-07-21,44107032.0,81.0,Lights Out,6.3,1129,David F. Sandberg,2016,2016,4756066.69805464,42811425.7235164
5000000.0,Horror,72571,en,29.15813,2011-10-19,205703818.0,83.0,Paranormal Activity 3,5.9,669,Henry Joost,2011,2011,5178226.096852925,213036175.71797687
5000000.0,Horror,242512,en,56.30466,2014-10-24,103590271.0,89.0,Ouija,4.9,983,Stiles White,2014,2014,4920185.35414977,101936666.84132114
5000000.0,Horror Thriller,10072,en,17.304055,1987-02-27,44793222.0,96.0,A Nightmare on Elm Street 3: Dream Warriors,6.5,354,Chuck Russell,1987,1987,10253389.084507043,91856466.70294015
5000000.0,Horror,82990,en,20.326337,2012-10-17,142817992.0,95.0,Paranormal Activity 4,5.2,563,Henry Joost,2012,2012,5073237.976602176,144909932.15129316
11000000.0,Horror Thriller Comedy,11284,en,16.856231,1991-09-05,34872033.0,89.0,Freddy's Dead: The Final Nightmare,5.1,272,Rachel Talalay,1991,1991,18814441.997063145,59645258.38165199
5000000.0,Horror Thriller,227348,en,19.984477,2014-01-01,86362372.0,84.0,Paranormal Activity: The Marked Ones,5.2,449,Christopher B. Landon,2014,2014,4920185.35414977,84983775.57280684
3300000.0,Thriller Horror,243940,en,20.304235,2015-01-29,64110728.0,83.0,The Lazarus Effect,5.1,505,David Gelb,2015,2015,3243472.409152086,63012538.60565276
5000000.0,Horror,157547,en,35.871248,2013-09-08,44030246.0,104.0,Oculus,6.3,1050,Mike Flanagan,2013,2013,5000000.0,44030246.0
5000000.0,Horror Thriller,256274,en,26.510558,2014-08-14,40100000.0,93.0,"As Above, So Below",6.1,766,John Erick Dowdle,2014,2014,4920185.35414977,39459886.54028116
5000000.0,Horror Thriller,10283,en,12.904615,1989-07-28,14000000.0,100.0,Friday the 13th Part VIII: Jason Takes Manhattan,4.8,191,Rob Hedden,1989,1989,9393427.41935484,26301596.774193548
5000000.0,Horror Thriller,10987,en,9.483717,1995-09-29,15116634.0,88.0,Halloween: The Curse of Michael Myers,5.0,170,Joe Chappelle,1995,1995,7642946.194225721,23107124.05996063
4000000.0,Horror Comedy,747,en,49.12486,2004-04-09,30039392.0,99.0,Shaun of the Dead,7.5,2420,Edgar Wright,2004,2004,4932916.887241927,37045456.01982001
5000000.0,Horror Thriller,11357,en,9.302349,1988-10-21,17768757.0,88.0,Halloween 4: The Return of Michael Myers,5.9,209,Dwight H. Little,1988,1988,9846027.049873203,34990332.41292477
5000000.0,Horror Thriller Science-Fiction,50357,en,17.028252,2011-07-20,25562924.0,86.0,Apollo 18,5.0,356,Gonzalo L\u00f3pez-Gallego,2011,2011,5178226.096852925,26474120.03373359
5000000.0,Action Adventure Horror Thriller,12484,en,2.739307,2001-04-27,0.0,90.0,The Forsaken,4.9,47,J.S. Cardone,2001,2001,6576990.400903444,0.0
0.0,Comedy Horror Science-Fiction,3028,en,0.805312,1982-11-10,0.0,87.0,Jekyll and Hyde ... Together Again,4.6,5,Jerry Belson,1982,1982,0.0,0.0
5000000.0,Horror Crime Thriller,313922,en,30.001024,2016-04-15,3220371.0,95.0,Green Room,6.7,683,Jeremy Saulnier,2016,2016,4853129.2837292245,3125775.3609144734
5000000.0,Comedy Horror,46838,en,19.940245,2010-01-22,5476793.0,89.0,Tucker and Dale vs Evil,7.3,847,Eli Craig,2010,2010,5341678.284477381,5851053.247335546
5000000.0,Horror Science-Fiction Thriller,18442,en,3.05434,2004-02-27,0.0,95.0,Decoys,4.7,33,Matthew Hastings,2004,2004,6166146.1090524085,0.0
5000000.0,Horror Thriller,298312,en,38.94708,2015-09-10,98450062.0,94.0,The Visit,6.0,1360,M. Night Shyamalan,2015,2015,4914352.135078918,96763654.47767037
0.0,Horror Action,361159,en,2.394613,2015-10-08,0.0,97.0,Navy Seals vs. Zombies,3.5,36,Stanton Barrett,2015,2015,0.0,0.0
4798235.0,Horror Thriller,77949,en,25.30216,2011-08-17,209696.0,107.0,The Awakening,6.3,458,Nick Murphy ,2011,2011,4969269.139166619,217170.65992113418
4800000.0,Horror,1690,en,38.83192,2005-01-06,80578934.0,94.0,Hostel,5.7,887,Eli Roth,2005,2005,5725517.665130568,96115856.26133128
0.0,Horror Thriller,49365,en,1.435742,1988-04-22,0.0,112.0,Lady in White,6.3,25,Frank LaLoggia,1988,1988,0.0,0.0
4700000.0,Horror,16337,en,9.617777,1986-08-22,8025872.0,101.0,The Texas Chainsaw Massacre 2,5.9,139,Tobe Hooper,1986,1986,9989944.343065692,17059152.039270073
4500000.0,Drama Horror Mystery Thriller,36419,en,14.570359,2010-04-09,3606395.0,104.0,After.Life,5.4,251,Agnieszka Wojtowicz-Vosloo,2010,2010,4807510.456029643,3852840.371349561
4400000.0,Comedy Horror,362105,en,3.898737,2015-09-29,0.0,85.0,R.L. Stine's Monsterville: The Cabinet of Souls,6.9,35,Peter DeLuise,2015,2015,4324629.878869448,0.0
114000.0,Horror,10331,en,25.666029,1968-10-01,30000000.0,96.0,Night of the Living Dead,7.5,580,George A. Romero,1968,1968,763135.0,200825000.0
4000000.0,Horror,287424,en,40.016306,2015-05-08,187112.0,95.0,Maggie,5.2,593,Henry Hobson,2015,2015,3931481.7080631345,183906.85133977732
4500000.0,Horror Comedy,165864,en,2.503612,2013-02-19,0.0,86.0,Hansel and Gretel Get Baked,4.8,67,Duane Journey,2013,2013,4500000.0,0.0
4000000.0,Action Horror Science-Fiction Thriller,8337,en,29.852608,1988-11-23,13008928.0,94.0,They Live,7.1,550,John Carpenter,1988,1988,7876821.639898563,25617251.395570584
5000000.0,Horror Thriller,146203,en,10.605752,2013-02-28,15179302.0,88.0,The Last Exorcism Part II,4.4,203,Ed Gass-Donnelly,2013,2013,5000000.0,15179302.0
4000000.0,Horror Action Thriller,48572,en,12.062371,2011-08-19,1104682.0,88.0,Red State,5.9,316,Kevin Smith,2011,2011,4142580.8774823397,1144058.6322247365
1300000.0,Crime Drama Horror Thriller,48309,en,7.605291,1988-03-04,354704.0,102.0,Prison,6.7,27,Renny Harlin,1988,1988,2559967.032967033,698485.035739645
650000.0,Drama Horror Action Thriller Science-Fiction,52015,en,12.496261,2010-09-30,33245.0,98.0,Stake Land,6.2,285,Jim Mickle,2010,2010,694418.1769820596,35516.81891349011
4000000.0,Horror,114635,en,1.390659,2012-10-27,0.0,78.0,The Helpers,4.1,8,Chris Stokes,2012,2012,4058590.381281741,0.0
3500000.0,Horror,16288,en,10.729884,1987-05-01,14000000.0,92.0,Creepshow 2,5.9,129,Michael Gornick,1987,1987,7177372.35915493,28709489.43661972
3500000.0,Mystery Horror,310131,en,50.319662,2016-02-19,40423945.0,92.0,The Witch,6.3,1434,Robert Eggers,2016,2016,3397190.498610457,39236526.24867191
0.0,Horror Thriller,22007,en,3.280081,2008-10-16,0.0,94.0,Train,4.8,36,Gideon Raff,2008,2008,0.0,0.0
3600000.0,Horror Comedy Fantasy,765,en,35.674774,1987-03-13,5923044.0,84.0,Evil Dead II,7.6,742,Sam Raimi,1987,1987,7382440.140845071,12146254.939330988
